"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","spa",,,"Worksheet","Graph"
"Vehicle","ks_porsche_911_gt3_r_2016",,,"Vehicle Desc",""
"Driver","xxzerpia23",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Soft (S)",,,"Session","PRACTICE"
"Log Date","6/12/2026",,,"Origin Time","139.249","s"
"Log Time","1:02:00 AM",,,"Start Time","139.250","s"
"Sample Rate","20.000","Hz",,"End Time","281.100","s"
"Duration","141.850","s",,"Start Distance","6607","m"
"Range","Lap 1",,,"End Distance","13562","m"


"Engine RPM","Ground Speed","Throttle Pos","Brake Pos","Steering Angle","Lap Time"
"rpm","km/h","%","%","deg","s"


"7459","165.17","100.00","0.00","-0.28","0.00"
"7253","166.10","100.00","0.00","-1.12","0.05"
"7299","166.70","100.00","0.00","-2.19","0.11"
"7330","167.35","100.00","0.00","-2.19","0.16"
"7363","167.96","100.00","0.00","-1.63","0.21"
"7379","168.47","100.00","0.00","-1.39","0.25"
"7406","169.09","100.00","0.00","-0.84","0.30"
"7418","169.71","100.00","0.00","-0.56","0.36"
"7444","170.32","100.00","0.00","-0.28","0.41"
"7486","170.91","100.00","0.00","0.00","0.45"
"7503","171.57","100.00","0.00","0.28","0.51"
"7535","172.05","100.00","0.00","0.28","0.55"
"7557","172.66","100.00","0.00","0.28","0.60"
"7571","173.27","100.00","0.00","0.00","0.66"
"7611","173.86","100.00","0.00","-0.56","0.70"
"7629","174.47","100.00","0.00","-0.56","0.75"
"7662","175.05","100.00","0.00","0.00","0.81"
"7675","175.69","100.00","0.00","0.28","0.86"
"7704","176.29","100.00","0.00","-0.28","0.91"
"7741","176.72","100.00","0.00","-1.12","0.95"
"7769","177.34","100.00","0.00","-1.39","1.00"
"7779","177.94","100.00","0.00","-0.84","1.05"
"7819","178.51","100.00","0.00","0.00","1.11"
"7829","179.11","100.00","0.00","0.00","1.16"
"7858","179.69","100.00","0.00","0.00","1.21"
"7881","180.18","100.00","0.00","0.00","1.25"
"7933","180.73","100.00","0.00","0.00","1.30"
"7927","181.34","100.00","0.00","0.28","1.35"
"7942","181.94","100.00","0.00","0.84","1.41"
"7975","182.55","100.00","0.00","0.56","1.46"
"8019","183.07","100.00","0.00","-0.28","1.50"
"8035","183.66","100.00","0.00","-0.56","1.56"
"8055","184.23","100.00","0.00","-0.84","1.61"
"8072","184.81","100.00","0.00","0.00","1.66"
"8088","185.35","100.00","0.00","0.56","1.71"
"8134","185.90","100.00","0.00","1.12","1.76"
"8162","186.44","100.00","0.00","1.12","1.81"
"8175","186.91","100.00","0.00","0.84","1.85"
"8194","187.47","100.00","0.00","0.56","1.90"
"8212","188.04","100.00","0.00","0.28","1.95"
"8241","188.59","100.00","0.00","0.28","2.00"
"8273","189.10","100.00","0.00","0.28","2.05"
"8284","189.66","100.00","0.00","0.28","2.10"
"8317","190.17","100.00","0.00","0.28","2.16"
"8314","190.73","100.00","0.00","0.56","2.20"
"8338","191.25","100.00","0.00","0.84","2.25"
"8405","191.72","100.00","0.00","0.84","2.30"
"8436","192.19","100.00","0.00","0.56","2.35"
"8414","192.74","100.00","0.00","-0.28","2.40"
"8422","193.28","100.00","0.00","-0.28","2.45"
"8446","193.79","100.00","0.00","0.00","2.50"
"8535","194.20","100.00","0.00","1.12","2.55"
"8525","194.69","100.00","0.00","1.67","2.61"
"8503","195.24","100.00","0.00","1.40","2.66"
"8530","195.75","100.00","0.00","0.28","2.70"
"8580","196.19","100.00","0.00","-0.28","2.76"
"8574","196.69","100.00","0.00","-0.28","2.81"
"8588","197.16","100.00","0.00","-0.28","2.86"
"8635","197.60","100.00","0.00","-0.56","2.91"
"8667","198.07","100.00","0.00","-0.56","2.96"
"8696","198.49","100.00","0.00","0.00","3.00"
"8679","198.96","100.00","0.00","0.84","3.05"
"8686","199.44","100.00","0.00","0.84","3.11"
"8704","199.89","100.00","0.00","-0.28","3.15"
"8585","200.18","100.00","0.00","0.00","3.20"
"7643","199.86","100.00","0.00","0.00","3.25"
"7400","200.55","100.00","0.00","0.28","3.30"
"7403","200.98","100.00","0.00","0.28","3.36"
"7436","201.36","100.00","0.00","0.28","3.40"
"7464","201.75","100.00","0.00","0.28","3.45"
"7468","202.14","100.00","0.00","0.28","3.50"
